CF

"8473 SBI HD"
年度,営業CF,投資CF,財務CF,設備投資,現金同等物,営業CFマージン
2007/03,-,-,-,-,115092000000,-
2008/03,50073000000,-20610000000,-9957000000,-,159007000000,22.5
2009/03,103034000000,-1104000000,-137514000000,-,126312000000,78.7
2010/03,-53134000000,-15563000000,84599000000,-,142581000000,-42.66
2011/03,-742000000,-16642000000,25154000000,-,148786000000,-0.53
2012/03,8179000000,-16004000000,11514000000,-,159833000000,4.66
2013/03,-36984000000,-19060000000,25699000000,-,133362000000,-23.88
2014/03,29401000000,16811000000,92538000000,-,276221000000,12.6
2015/03,-36197000000,52305000000,-15524000000,-,290826000000,-14.63
2016/03,32478000000,11179000000,-76230000000,-,248050000000,12.41
2017/03,-17952000000,2437000000,159467000000,-,391572000000,-6.85
2018/03,-33235000000,7881000000,74575000000,-,437148000000,-9.86
2019/03,-71665000000,-54731000000,407746000000,-,713974000000,-20.39
2020/03,26849000000,-70887000000,181626000000,-,843755000000,7.29
2021/03,-178403000000,-82071000000,210822000000,-,802702000000,-32.97
