配当

"8473 SBI HD"
年度,一株配当,剰余金の配当,自社株買い,配当性向,総還元性向,純資産配当率
2008/03,-,13557000000,2000000,320.65,320.7,-
2009/03,-,6795000000,644000000,-,-,-
2010/03,10,1673000000,-,71.19,71.19,-
2011/03,12,1676000000,-,36.97,36.97,-
2012/03,10,2391000000,2938000000,-,-,-
2013/03,10,2208000000,2021000000,57.85,110.79,0.7
2014/03,20,2170000000,64000000,10.12,10.42,1.4
2015/03,35,4340000000,34000000,9.49,9.57,2.1
2016/03,45,9715000000,15030000000,28.48,72.53,2.5
2017/03,50,9280000000,8019000000,28.59,53.3,2.7
2018/03,85,11390000000,9637000000,24.4,45.04,4.5
2019/03,100,20169000000,29461000000,38.38,94.45,5.1
2020/03,100,22860000000,16000000,60.98,61.02,5.1
2021/03,120,23313000000,39000000,28.75,28.79,5.6
