財務

"8473 SBI HD"
年度,総資産,純資産,株主資本,利益剰余金,短期借入金,長期借入金,BPS,自己資本比率
2007/03,-,346640000000,240537000000,122167000000,-,-,-,-
2008/03,1219247000000,387766000000,231195000000,112339000000,-,-,-,18.96
2009/03,1079233000000,419338000000,360456000000,86865000000,-,-,-,33.4
2010/03,1229939000000,428615000000,361282000000,87276000000,-,-,2152.76,29.2
2011/03,1293606000000,456982000000,397983000000,88073000000,-,-,1995.5,30.2
2012/03,1654759000000,467964000000,295908000000,87672000000,-,-,1318,17.9
2013/03,2494387000000,468346000000,303299000000,-,-,-,1350.84,12.2
2014/03,2875304000000,388463000000,325631000000,-,-,-,1504.19,11.3
2015/03,3400763000000,430615000000,383491000000,-,-,-,1771.2,11.3
2016/03,3126784000000,419063000000,371590000000,-,-,-,1792.09,11.9
2017/03,3850001000000,415524000000,377992000000,-,-,-,1856.47,9.8
2018/03,4535964000000,493824000000,427815000000,204731000000,-,-,1937.72,9.4
2019/03,5034124000000,562557000000,456675000000,225714000000,-,-,2000.82,9.1
2020/03,5513227000000,593699000000,451476000000,239724000000,-,-,1955.91,8.2
2021/03,7208572000000,717095000000,562116000000,297495000000,-,-,2297.87,7.8
