業績

"8473 SBI HD"
年度,売上高,営業利益,経常利益,純利益,EPS,ROE,ROA
2008/03,222567000000,42606000000,-,4228000000,-,1.83,0.35
2009/03,130922000000,4403000000,-,-18375000000,-,-,-
2010/03,124541000000,3431000000,-,2350000000,14,0.65,0.19
2011/03,141081000000,8932000000,-,4534000000,22.73,1.14,0.35
2012/03,175383000000,14990000000,-,-312000000,-1.39,-,-
2013/03,154889000000,17386000000,-,3817000000,17,1.26,0.15
2014/03,233336000000,42224000000,-,21439000000,99.04,6.58,0.75
2015/03,247423000000,68209000000,-,45721000000,211.18,11.92,1.34
2016/03,261744000000,-,-,34115000000,160.83,9.18,1.09
2017/03,261939000000,-,-,32455000000,159.38,8.59,0.84
2018/03,337017000000,123092000000,-,46684000000,220.54,10.91,1.03
2019/03,351411000000,140525000000,-,52548000000,231.43,11.51,1.04
2020/03,368055000000,125133000000,-,37487000000,163.18,8.3,0.68
2021/03,541145000000,235300000000,-,81098000000,339.78,14.43,1.13
