"åàéZîNìx","åàéZélîºä˙","îÑè„çÇ","îÑè„å¥âø","îÑè„ëçóòâv","îÑè„ëçóòâvó¶","îÃä«îÔ","âcã∆óòâv","âcã∆óòâvó¶","EBITDA","åoèÌóòâv","ñ@êlê≈ìô","é¿éøé¿å¯ê≈ó¶","êeâÔé–Ç…ãAëÆÇ∑ÇÈèÉóòâv","èÉóòâvó¶","EPS","BPS","äÈã∆âøíl","éûâøëçäz","èÉóLóòéqïâç¬","PERÅiâÔó\Åj","PBR","PER Å~ PBR","EV/EBITDAÅiâÔó\Åj","PSR","PCFR","àÍäîìñÇΩÇËîzìñã‡","îzìñóòâÒÇËÅié¿ê—Åj","îzìñê´å¸","é©å»éëñ{îzìñó¶","ROE","ëçéëéYâÒì]ó¶","ç‡ñ±ÉåÉoÉåÉbÉW","é¿éøROE","ROIC","ROA","ëçéëéY","ó¨ìÆéëéY","åªã‡ãyÇ—óaã‡","åªã‡/ëçéëéY","åªã‡/åéä‘îÑè„","åªã‡/éûâøëçäz","îÑä|ã‡Ç®ÇÊÇ—éÛéÊéËå`","êªïiÇ®ÇÊÇ—édä|ïi","ó¨ìÆî‰ó¶","å≈íËéëéY","ïâç¬","ó¨ìÆïâç¬","îÉä|ã‡Ç®ÇÊÇ—éxï•éËå`","å≈íËïâç¬","óLóòéqïâç¬","D/EÉåÉVÉI","ÉlÉbÉgDèÉóòâvî{ó¶","é©å»äîí≤êÆçœïâç¬î‰ó¶","èÉéëéY","äîéÂéëñ{","é©å»éëñ{","é©å»éëñ{î‰ó¶","éëñ{ã‡","óòâvèËó]ã‡","âcã∆CF","å∏âøèûãpîÔ","ÇÃÇÍÇÒèûãpîÔ","ìäéëCF","ç‡ñ±CF","ÉtÉäÅ[CF","ê›îıìäéëäz","å§ãÜäJî≠îÔ","î≠çsçœäîéÆëçêî","è]ã∆àıêî","îÑè„/è]ã∆àıêî","âcóò/è]ã∆àıêî","äîâø"
"2020","4","4126769000000","3299886000000","826883000000","20.0","469761000000","357121000000","8.7","435524000000","337830000000","109873000000","35.3","195076000000","4.7","298.2","2805.1","3067744113456","2120384113456","947360000000","16.3","1.2","18.8","9.1","0.5","10.2","116.0","3.58","38.9","4.1","10.6","0.82","2.8","10.4","7.7","3.9","5053052000000","2354364000000","425980000000","8","1","20","-","1170189000000","184.1","2698687000000","3159548000000","1278858000000","296165000000","1880689000000","1373340000000","0.7","4.9","164","1893504000000","1772834000000","1835197000000","36","161699000000","1339558000000","430314000000","78403000000","-","-389980000000","102731000000","57410000000","372904000000","10209000000","654237616","48807","84552810","7317004","3241"
"2019","4","4380209000000","3510002000000","870206000000","19.9","489091000000","381114000000","8.7","456321000000","367669000000","112327000000","32.1","233603000000","5.3","351.8","2600.8","2623208034535","1777912034535","845296000000","7.0","1.0","7.2","5.7","0.4","5.4","115.0","4.3","32.7","4.4","13.5","0.95","2.7","13.5","9.4","5.0","4627388000000","2103866000000","281434000000","6","1","16","-","1090398000000","162.2","2523522000000","2853999000000","1297254000000","360338000000","1556745000000","1126730000000","0.7","3.6","160","1773388000000","1678671000000","1726995000000","37","161699000000","1217407000000","149651000000","75207000000","-","-317273000000","169128000000","-224200000000","373851000000","10128000000","664019434","47133","92932956","8085927","2678"
"2018","4","4143505000000","3300738000000","842767000000","20.3","470571000000","372195000000","9.0","443215000000","359462000000","110198000000","31.3","237439000000","5.7","357.7","2404.3","2887483577636","2335916577636","551567000000","9.7","1.5","14.2","6.8","0.6","7.5","114.0","3.24","31.9","4.7","14.9","0.96","2.7","14.8","10.8","5.5","4334037000000","1921043000000","279859000000","6","1","12","-","954697000000","137.0","2412993000000","2690320000000","1401849000000","530472000000","1288470000000","831426000000","0.5","2.3","163","1643717000000","1530968000000","1595993000000","37","161699000000","1066705000000","355599000000","71020000000","-","-313989000000","-86979000000","62448000000","293151000000","9681000000","663801244","44947","92186464","8280753","3519"
"2017","4","3795992000000","3002160000000","793832000000","20.9","446690000000","347141000000","9.1","411304000000","344593000000","106412000000","30.7","236357000000","6.2","355.6","2218.2","3212309419200","2725498419200","486811000000","12.6","1.8","23.3","8.3","0.7","9.7","107.0","2.61","30.1","4.8","16.0","0.94","2.7","16.0","10.5","5.9","4035059000000","1730010000000","330806000000","8","1","12","-","783605000000","144.4","2305048000000","2521474000000","1198349000000","479451000000","1323124000000","817617000000","0.6","2.1","166","1513585000000","1372528000000","1474541000000","37","161699000000","903550000000","382365000000","64163000000","-","-313664000000","41804000000","97775000000","284590000000","-","664755712","42460","89401602","8175718","4100"
"2016","4","3512909000000","2791596000000","721312000000","20.5","411220000000","310092000000","8.8","369689000000","300529000000","92072000000","31.2","201700000000","5.7","304.0","1971.7","2571435106184","2120695106184","450740000000","11.7","1.6","18.9","7.6","0.6","8.8","92.0","2.88","30.3","4.7","15.4","0.99","2.7","15.3","11.0","5.7","3555885000000","1405188000000","216749000000","6","1","10","-","623634000000","137.5","2150696000000","2225983000000","1021973000000","383232000000","1204009000000","667489000000","0.5","2.2","166","1329901000000","1198884000000","1308291000000","37","161699000000","734242000000","287691000000","59597000000","-","-343643000000","80086000000","-53965000000","341656000000","-","663546654","39770","88330626","7797134","3196"
"2015","4","3192900000000","2560483000000","632417000000","19.8","389316000000","243100000000","7.6","299615000000","233592000000","51545000000","33.0","103577000000","3.2","156.0","1763.0","2425100606978","2101618606978","323482000000","13.6","1.8","24.5","8.2","0.7","10.0","80.0","2.53","51.3","4.5","8.9","0.98","2.8","8.8","11.4","3.2","3257805000000","1328849000000","192571000000","6","1","9","-","639515000000","136.5","1928955000000","2075818000000","973790000000","368494000000","1102028000000","516053000000","0.4","3.1","175","1181986000000","1060158000000","1170279000000","36","161699000000","591850000000","278497000000","56515000000","-","-202447000000","-130185000000","90185000000","188312000000","-","663808783","37191","85851416","6536528","3166"
"2014","4","2810714000000","2269846000000","540868000000","19.2","360516000000","180352000000","6.4","233635000000","202628000000","83552000000","41.5","117133000000","4.2","177.8","1678.2","1917159802810","1562019802810","355140000000","14.5","1.4","20.4","8.5","0.6","9.7","60.0","2.53","33.7","3.6","10.6","0.93","2.7","10.6","5.7","3.9","3021007000000","1270247000000","238776000000","8","1","15","-","598040000000","138.7","1750759000000","1908190000000","916104000000","309261000000","992085000000","593916000000","0.5","3.0","171","1112817000000","989005000000","1105630000000","37","161699000000","534639000000","139465000000","53283000000","-","-235027000000","129202000000","-135525000000","274990000000","-","658802110","34903","80529295","5167235","2371"
"2013","4","2700318000000","2192414000000","507903000000","18.8","344326000000","163576000000","6.1","212109000000","176366000000","66000000000","39.2","102095000000","3.8","154.9","1496.7","1364572870821","1154121870821","210451000000","-","1.2","-","-","-","23.8","50.0","2.86","32.3","3.3","10.3","1.01","2.7","10.3","6.9","3.8","2665946000000","1075731000000","212114000000","8","1","18","-","454927000000","127.2","1590215000000","1673260000000","845474000000","274776000000","827786000000","422565000000","0.4","2.1","168","992686000000","920794000000","986519000000","37","161699000000","465719000000","78451000000","48533000000","-","-240439000000","110131000000","-138907000000","217358000000","-","659121571","32628","82760758","5013363","1751"
"2012","4","2007989000000","1592218000000","415771000000","20.7","287746000000","128024000000","6.4","173860000000","145395000000","47092000000","41.6","66274000000","3.3","114.5","1267.8","1203772690740","1053184690740","150588000000","17.0","1.4","24.4","7.0","0.5","9.8","35.0","1.92","30.6","2.8","9.0","0.85","3.2","8.8","7.1","2.8","2371238000000","981546000000","248799000000","10","1","24","-","397249000000","136.8","1389691000000","1636354000000","717551000000","337767000000","918803000000","399387000000","0.5","2.3","217","734883000000","721926000000","733624000000","31","110120000000","404979000000","164247000000","45836000000","-","-140736000000","-28633000000","42864000000","121383000000","-","578672907","30361","66137117","4216725","1820"
"2011","4","1848797000000","1468844000000","379952000000","20.6","264996000000","114955000000","6.2","158745000000","108506000000","59853000000","64.3","33200000000","1.8","57.4","1135.5","791268134430","633115134430","158153000000","21.1","1.0","20.3","5.1","0.4","8.6","25.0","2.29","43.6","2.2","5.1","0.89","3.2","4.9","5.2","1.6","2086097000000","844757000000","250649000000","12","2","40","-","370558000000","133.7","1241340000000","1428206000000","631872000000","210241000000","796334000000","408802000000","0.6","4.8","211","657891000000","697751000000","657112000000","31","110120000000","380751000000","248771000000","43790000000","-","-117226000000","-28766000000","149947000000","98824000000","-","578715845","-","-","-","1094"
