"決算年度","決算四半期","売上高","売上原価","売上総利益","売上総利益率","販管費","営業利益","営業利益率","EBITDA","経常利益","法人税等","実質実効税率","親会社に帰属する純利益","純利益率","EPS","BPS","企業価値","時価総額","純有利子負債","PER（会予）","PBR","PER × PBR","EV/EBITDA（会予）","PSR","PCFR","一株当たり配当金","配当利回り（実績）","配当性向","自己資本配当率","ROE","総資産回転率","財務レバレッジ","実質ROE","ROIC","ROA","総資産","流動資産","現金及び預金","現金/総資産","現金/月間売上","現金/時価総額","売掛金および受取手形","製品および仕掛品","流動比率","固定資産","負債","流動負債","買掛金および支払手形","固定負債","有利子負債","D/Eレシオ","ネットD純利益倍率","自己株調整済負債比率","純資産","株主資本","自己資本","自己資本比率","資本金","利益剰余金","営業CF","減価償却費","のれん償却費","投資CF","財務CF","フリーCF","設備投資額","研究開発費","発行済株式総数","従業員数","売上/従業員数","営利/従業員数","株価"
"2021","4","117239000000","96775000000","20464000000","17.5","14144000000","6319000000","5.4","8916000000","6297000000","2138000000","37.9","3502000000","3.0","37.0","213.0","111752340496","93444340496","18308000000","23.8","4.6","110.3","12.0","0.8","14.3","20.0","2.02","54.0","9.4","17.4","1.66","3.5","17.4","8.6","5.0","70745000000","27918000000","10340000000","15","1","11","15729000000","27000000","107.8","42826000000","50595000000","25905000000","-","24689000000","28648000000","1.4","5.2","251","20149000000","20139000000","20142000000","28","630000000","13979000000","5519000000","1197000000","1400000000","-7446000000","3201000000","4721000000","798000000","-","94579292","-","-","-","988"
"2020","4","106182000000","87321000000","18860000000","17.8","12798000000","6062000000","5.7","8400000000","6075000000","1815000000","33.9","3538000000","3.3","37.5","195.5","147628952776","134856952776","12772000000","37.7","7.3","275.1","17.6","1.3","22.8","19.5","1.37","52.1","10.0","19.2","1.77","3.3","19.2","10.6","5.9","60103000000","24196000000","8973000000","15","1","7","13876000000","45000000","117.6","35906000000","41631000000","20580000000","-","21050000000","21745000000","1.2","3.6","225","18472000000","18454000000","18464000000","31","595000000","12365000000","6728000000","1052000000","1286000000","-3816000000","-5721000000","5614000000","1114000000","-","94437642","29838","3558617","203164","1428"
"2019","4","95719000000","78718000000","17001000000","17.8","11535000000","5465000000","5.7","7415000000","5374000000","2226000000","32.0","4739000000","5.0","50.2","177.7","105676823084","94702823084","10974000000","18.9","5.6","107.0","13.8","1.0","13.6","19.5","1.94","38.8","11.0","28.3","1.66","3.4","28.3","8.1","8.2","57703000000","25565000000","12232000000","21","2","13","11995000000","56000000","122.2","32138000000","40933000000","20926000000","-","20006000000","23206000000","1.4","2.3","244","16770000000","16733000000","16762000000","29","583000000","10666000000","4248000000","880000000","1070000000","-3482000000","1784000000","-5075000000","9323000000","-","94325521","27174","3522448","201111","1004"
"2018","4","84251000000","69094000000","15156000000","18.0","10126000000","5030000000","6.0","6542000000","5011000000","1447000000","29.2","3506000000","4.2","37.2","148.0","122636355556","117280355556","5356000000","40.0","8.4","336.6","19.6","1.4","26.4","19.0","1.52","51.0","12.8","25.2","1.84","3.3","25.2","12.6","7.7","45798000000","20594000000","9211000000","20","1","8","10296000000","53000000","124.2","25204000000","31862000000","16582000000","-","15280000000","14567000000","1.0","1.5","229","13936000000","13901000000","13931000000","30","572000000","7857000000","5153000000","770000000","742000000","-2404000000","-1215000000","926000000","4227000000","-","94125486","25996","3240922","193491","1246"
"2017","4","74329000000","61347000000","12981000000","17.5","8792000000","4188000000","5.6","5193000000","4164000000","1390000000","33.9","2710000000","3.6","29.0","127.2","96821291156","91918291156","4903000000","34.8","7.7","269.6","19.2","1.3","25.2","45.0","1.52","51.7","35.4","22.8","1.97","3.2","22.8","11.4","7.2","37665000000","18208000000","7678000000","20","1","8","9608000000","58532000","130.2","19456000000","25793000000","13981000000","-","11812000000","12581000000","1.1","1.8","217","11871000000","11841000000","11870000000","32","548000000","5845000000","5068000000","605000000","400000000","-6375000000","3018000000","-5218000000","10286000000","-","93350586","25318","2935816","165416","985"
"2016","4","65413623000","54246636000","11166987000","17.1","7512211000","3654775000","5.6","4233989000","3626261000","1166627000","32.1","2473177000","3.8","27.1","112.5","45694667878","47481745878","-1787078000","20.5","4.6","95.0","10.9","0.7","16.4","43.0","2.75","52.8","38.2","24.1","2.75","2.3","24.1","17.2","10.4","23802217000","14960378000","5979842000","25","1","13","7614148000","94488000","146.9","8841839000","13545110000","10183895000","-","3361215000","4192764000","0.4","-0.7","132","10257106000","10335562000","10257106000","43","478176000","4475849000","3086512000","432489000","146725000","-832885000","-2119197000","2001030000","1085482000","-","91136700","23747","2754606","153905","521"
"2015","4","63070937000","52466795000","10604142000","16.8","7292645000","3311497000","5.3","3918463000","3308538000","1178304000","37.2","1993377000","3.2","23.5","99.9","-","-","-574356000","-","-","-","-","-","-","35.4","-","50.2","35.4","23.5","2.8","2.7","23.5","15.5","8.8","22541237000","14339328000","5831909000","26","1","-","7146205000","107796000","163.2","8201908000","14065361000","8785860000","-","5279501000","5257553000","0.6","-0.3","166","8475875000","8588288000","8475875000","38","300000000","3084928000","1959737000","472119000","134847000","-224718000","-3511212000","1787391000","172346000","-","84810600","23288","2708302","142198","-"
"2014","4","60181644000","50544397000","9637246000","16.0","7015018000","2622228000","4.4","3171702000","2673534000","1179194000","44.8","1451759000","2.4","0.1","0.3","-","-","-814913000","-","-","-","-","-","-","36627.0","-","71323.3","10855703.8","16.9","2.43","2.9","16.9","9.4","5.9","24759913000","15961381000","7608102000","31","2","-","7009097000","138828000","163.1","8798532000","16175418000","9787001000","-","6388416000","6793189000","0.8","-0.6","188","8584495000","8594838000","8584495000","35","6275763000","2319075000","2175115000","519544000","29930000","-2730063000","356838000","-624594000","2799709000","-","25443180000","13462","4470483","194787","-"
"2010","4","57991725000","46908482000","11083242000","19.1","8750755000","2332486000","4.0","2775399000","2453470000","1086515000","49.2","1122038000","1.9","-","-","-","-","-6522366000","-","-","-","-","-","-","-","-","0.0","-","5.9","2.27","1.3","5.6","6.6","4.4","25529217000","13518726000","6609866000","26","1","-","6004567000","70746000","229.3","12010491000","6576780000","5896080000","-","680700000","87500000","0.0","-5.8","33","18952436000","18989636000","18929784000","74","6184413000","7655471000","411717000","442913000","-","-725728000","-427735000","-414385000","826102000","-","0","-","-","-","-"
"2009","4","58376085000","47028227000","11347857000","19.4","8899083000","2448774000","4.2","2830728000","2536217000","1636053000","54.7","1355130000","2.3","-","-","-","-","-7064395000","-","-","-","-","-","-","-","-","0.0","-","7.5","2.18","1.5","7.0","4.4","5.1","26745896000","14635350000","7354611000","27","2","-","6343730000","87023000","194.9","12110545000","8575627000","7508952000","-","1066674000","290216000","0.0","-5.2","44","18170269000","18128167000","18126364000","68","6184413000","6793979000","1870892000","381954000","-","1262994000","-652894000","1542376000","328516000","-","0","-","-","-","-"
